rank	openalex_id	year	doi	title	venue	type	abstract
11	W4413146991	2025	https://doi.org/10.1109/cvpr52734.2025.02351	From Alexnet to Transformers: Measuring the Non-linearity of Deep Neural Networks with Affine Optimal Transport		conference-paper	In the last decade, we have witnessed the introduction of several novel deep neural network (DNN) architectures exhibiting ever-increasing performance across diverse tasks. Explaining the upward trend of their performance, however, remains difficult as different DNN architectures of comparable depth and width – common factors associated with their expressive power – may exhibit a drastically different performance even when trained on the same dataset. In this paper, we introduce the concept of the non-linearity signature of DNN, the first theoretically sound solution for approximately measuring the non-linearity of deep neural networks. Built upon a score derived from closed-form optimal transport mappings, this signature provides a better understanding of the inner workings of a wide range of DNN architectures and learning paradigms, with a particular emphasis on the computer vision task. We provide extensive experimental results that highlight the practical usefulness of the proposed non-linearity signature and its potential for long-reaching implications. The code for our work is available at https://github.com/qbouniot/AffScoreDeep.
12	W4310113695	2022	https://doi.org/10.1017/9781009025096	Mathematical Aspects of Deep Learning	Cambridge University Press eBooks	book	In recent years the development of new classification and regression algorithms based on deep learning has led to a revolution in the fields of artificial intelligence, machine learning, and data analysis. The development of a theoretical foundation to guarantee the success of these algorithms constitutes one of the most active and exciting research topics in applied mathematics. This book presents the current mathematical understanding of deep learning methods from the point of view of the leading experts in the field. It serves both as a starting point for researchers and graduate students in computer science, mathematics, and statistics trying to get into the field and as an invaluable reference for future research.
13	W4386826409	2023	https://doi.org/10.1016/j.sysarc.2023.102990	A survey of techniques for optimizing transformer inference	Journal of Systems Architecture	article	
14	W4367694158	2023	https://doi.org/10.48550/arxiv.2305.00241	When Deep Learning Meets Polyhedral Theory: A Survey	arXiv (Cornell University)	preprint	In the past decade, deep learning became the prevalent methodology for predictive modeling thanks to the remarkable accuracy of deep neural networks in tasks such as computer vision and natural language processing. Meanwhile, the structure of neural networks converged back to simpler representations based on piecewise constant and piecewise linear functions such as the Rectified Linear Unit (ReLU), which became the most commonly used type of activation function in neural networks. That made certain types of network structure $\unicode{x2014}$such as the typical fully-connected feedforward neural network$\unicode{x2014}$ amenable to analysis through polyhedral theory and to the application of methodologies such as Linear Programming (LP) and Mixed-Integer Linear Programming (MILP) for a variety of purposes. In this paper, we survey the main topics emerging from this fast-paced area of work, which bring a fresh perspective to understanding neural networks in more detail as well as to applying linear optimization techniques to train, verify, and reduce the size of such networks.
15	W3135287914	2021	https://doi.org/10.1109/tpami.2021.3116668	Deep Generative Modelling: A Comparative Review of VAEs, GANs, Normalizing Flows, Energy-Based and Autoregressive Models	IEEE Transactions on Pattern Analysis and Machine Intelligence	article	Deep generative models are a class of techniques that train deep neural networks to model the distribution of training samples. Research has fragmented into various interconnected approaches, each of which make trade-offs including run-time, diversity, and architectural restrictions. In particular, this compendium covers energy-based models, variational autoencoders, generative adversarial networks, autoregressive models, normalizing flows, in addition to numerous hybrid approaches. These techniques are compared and contrasted, explaining the premises behind each and how they are interrelated, while reviewing current state-of-the-art advances and implementations.
16	W4403975521	2024	https://doi.org/10.1016/j.jprocont.2024.103327	Data Science and Model Predictive Control:	Journal of Process Control	article	
17	W4387800088	2023	https://doi.org/10.48550/arxiv.2310.11439	From Alexnet to Transformers: Measuring the Non-linearity of Deep Neural Networks with Affine Optimal Transport	arXiv (Cornell University)	preprint	In the last decade, we have witnessed the introduction of several novel deep neural network (DNN) architectures exhibiting ever-increasing performance across diverse tasks. Explaining the upward trend of their performance, however, remains difficult as different DNN architectures of comparable depth and width -- common factors associated with their expressive power -- may exhibit a drastically different performance even when trained on the same dataset. In this paper, we introduce the concept of the non-linearity signature of DNN, the first theoretically sound solution for approximately measuring the non-linearity of deep neural networks. Built upon a score derived from closed-form optimal transport mappings, this signature provides a better understanding of the inner workings of a wide range of DNN architectures and learning paradigms, with a particular emphasis on the computer vision task. We provide extensive experimental results that highlight the practical usefulness of the proposed non-linearity signature and its potential for long-reaching implications. The code for our work is available at https://github.com/qbouniot/AffScoreDeep
18	W2568496315	2021	https://doi.org/10.4310/acta.2021.v227.n1.a3	The KPZ fixed point	Acta Mathematica	article	An explicit Fredholm determinant formula is derived for the multipoint distribution of the height function of the totally asymmetric simple exclusion process (TASEP) with arbitrary right-finite initial condition. The method is by solving the biorthogonal ensemble/non-intersecting path representation found by [Sas05; BFPS07]. The resulting kernel involves transition probabilities of a random walk forced to hit a curve defined by the initial data. In the KPZ 1:2:3 scaling limit the formula leads in a transparent way to a Fredholm determinant formula, in terms of analogous kernels based on Brownian motion, for the transition probabilities of the scaling invariant Markov process at the centre of the KPZ universality class. The formula readily reproduces known special self-similar solutions such as the Airy$_1$ and Airy$_2$ processes. The process takes values in real valued functions which look locally like Brownian motion, and is Hölder $1/3-$ in time. Both the KPZ fixed point and TASEP are shown to be stochastic integrable systems in the sense that the time evolution of their transition probabilities can be linearized through a new Brownian scattering transform and its discrete analogue.
19	W3197807047	2021	https://doi.org/10.1007/s00170-021-07784-y	Cutting tool prognostics enabled by hybrid CNN-LSTM with transfer learning	The International Journal of Advanced Manufacturing Technology	article	
20	W4285265010	2022	https://doi.org/10.1007/978-3-030-95860-2	Regularized System Identification	Communications and control engineering/Communications and control engineering series	book	This open-access book treats recent developments in kernel-based identification, of interest to anyone engaged in learning dynamic systems from data.
21	W1579955660	2008	https://doi.org/10.48550/arxiv.0803.2045	Phases Of N=2 Theories In 1+1 Dimensions With Boundary	arXiv (Cornell University)	preprint	We study B-type D-branes in linear sigma models with Abelian gauge groups. The most important finding is the grade restriction rule. It classifies representations of the gauge group on the Chan-Paton factor, which can be used to define a family of D-branes over a region of the Kähler moduli space that connects special points of different character. As an application, we find a precise, transparent relation between D-branes in various geometric phases as well as free orbifold and Landau-Ginzburg points. The result reproduces and unifies many of the earlier mathematical results on equivalences of D-brane categories, including the McKay correspondence and Orlov's construction.
22	W4200213729	2021	https://doi.org/10.3389/frai.2021.642374	Studying the Evolution of Neural Activation Patterns During Training of Feed-Forward ReLU Networks	Frontiers in Artificial Intelligence	article	The ability of deep neural networks to form powerful emergent representations of complex statistical patterns in data is as remarkable as imperfectly understood. For deep ReLU networks, these are encoded in the mixed discrete-continuous structure of linear weight matrices and non-linear binary activations. Our article develops a new technique for instrumenting such networks to efficiently record activation statistics, such as information content (entropy) and similarity of patterns, in real-world training runs. We then study the evolution of activation patterns during training for networks of different architecture using different training and initialization strategies. As a result, we see characteristic- and general-related as well as architecture-related behavioral patterns: in particular, most architectures form bottom-up structure, with the exception of highly tuned state-of-the-art architectures and methods (PyramidNet and FixUp), where layers appear to converge more simultaneously. We also observe intermediate dips in entropy in conventional CNNs that are not visible in residual networks. A reference implementation is provided under a free license.
23	W4200576967	2021	https://doi.org/10.1186/s40658-021-00426-y	Artificial intelligence with deep learning in nuclear medicine and radiology	EJNMMI Physics	article	The use of deep learning in medical imaging has increased rapidly over the past few years, finding applications throughout the entire radiology pipeline, from improved scanner performance to automatic disease detection and diagnosis. These advancements have resulted in a wide variety of deep learning approaches being developed, solving unique challenges for various imaging modalities. This paper provides a review on these developments from a technical point of view, categorizing the different methodologies and summarizing their implementation. We provide an introduction to the design of neural networks and their training procedure, after which we take an extended look at their uses in medical imaging. We cover the different sections of the radiology pipeline, highlighting some influential works and discussing the merits and limitations of deep learning approaches compared to other traditional methods. As such, this review is intended to provide a broad yet concise overview for the interested reader, facilitating adoption and interdisciplinary research of deep learning in the field of medical imaging.
24	W4414183838	2025	https://doi.org/10.3390/app151810035	Generalization-Capable PINNs for the Lane–Emden Equation: Residual and StellarNET Approaches	Applied Sciences	article	We present a Physics-Informed Neural Network (PINN) approach to solving the Lane–Emden equation, a model used to describe polytropic stars’ behavior in astrophysics. The equation is reformulated as a two-dimensional problem; we treat both the radial coordinate and polytropic index as inputs for the neural network. In order to improve stability and accuracy, we introduced coordinate embedding via Random Fourier Features, residual blocks, and gating mechanisms. Experiments show that our neural networks outperform other traditional numerical methods, including Monte Carlo simulations and standard fully connected PINNs. We achieve accurate predictions for both trained and extrapolated polytropic indices. The code used to implement our method is publicly available providing researchers with the resources to replicate and extend our work.
25	W4312314221	2022	https://doi.org/10.1109/access.2022.3218621	Automatic Early Diagnosis of Alzheimer’s Disease Using 3D Deep Ensemble Approach	IEEE Access	article	Alzheimer’s disease (AD) is considered the 6thleading cause of death worldwide. Early diagnosis of AD is not an easy task, and no preventive cures have been discovered yet. Having an accurate computer-aided system for the early detection of AD is important to help patients with AD. This study proposes a new approach for classifying disease stages. First, we worked on the MRI images and split them into an appropriate format to avoid data leakage. Subsequently, a simple and fast registration-free preprocessing pipeline was applied to the dataset. Numerous experiments were conducted to analyze the performances of different 3D classification architectures. Finally, an ensemble learning approach is applied to the top-performing models. The outstanding performance of the proposed method was demonstrated using augmentation of the Alzheimer’s Disease Neuroimaging Initiative (ADNI) dataset. Our proposed ensemble approach outperforms studies in literature for distinguishing between people with AD and mild cognitive impairment (MCI), and MCI and cognitive normal (CN) with an AUC score of 91.28% and 88.42%, respectively. We also targeted the multiclass task, which was marginalized in previous work, by differentiating between the three stages of the disease.
26	W1493664468	2004		Image based view synthesis	Journal of International Crisis and Risk Communication Research	article	This dissertation deals with the image-based approach to synthesize a virtual scene using sparse images or a video sequence without the use of 3D models. In our scenario, a real dynamic or static scene is captured by a set of un-calibrated images from different viewpoints. After automatically recovering the geometric transformations between these images, a series of photo-realistic virtual views can be rendered and a virtual environment covered by these several static cameras can be synthesized. This image-based approach has applications in object recognition, object transfer, video synthesis and video compression. In this dissertation, I have contributed to several sub-problems related to image based view synthesis. Before image-based view synthesis can be performed, images need to be segmented into individual objects. Assuming that a scene can approximately be described by multiple planar regions, I have developed a robust and novel approach to automatically extract a set of affine or projective transformations induced by these regions, correctly detect the occlusion pixels over multiple consecutive frames, and accurately segment the scene into several motion layers. First, a number of seed regions using correspondences in two frames are determined, and the seed regions are expanded and outliers are rejected employing the graph cuts method integrated with level set representation. Next, these initial regions are merged into several initial layers according to the motion similarity. Third, the occlusion order constraints on multiple frames are explored, which guarantee that the occlusion area increases with the temporal order in a short period and effectively maintains segmentation consistency over multiple consecutive frames. Then the correct layer segmentation is obtained by using a graph cuts algorithm, and the occlusions between the overlapping layers are explicitly determined. Several experimental results are demonstrated to show that our approach is effective and robust. Recovering the geometrical transformations among images of a scene is a prerequisite step for image-based view synthesis. I have developed a wide baseline matching algorithm to identify the correspondences between two un-calibrated images, and to further determine the geometric relationship between images, such as epipolar geometry or projective transformation. In our approach, a set of salient features, edge-corners, are detected to provide robust and consistent matching primitives. Then, based on the Singular Value Decomposition (SVD) of an affine matrix, we effectively quantize the search space into two independent subspaces for rotation angle and scaling factor, and then we use a two-stage affine matching algorithm to obtain robust matches between these two frames. The experimental results on a number of wide baseline images strongly demonstrate that our matching method outperforms the state-of-art algorithms even under the significant camera motion, illumination variation, occlusion, and self-similarity. Given the wide baseline matches among images I have developed a novel method for Dynamic view morphing. Dynamic view morphing deals with the scenes containing moving objects in presence of camera motion. The objects can be rigid or non-rigid, each of them can move in any orientation or direction. The proposed method can generate a series of continuous and physically accurate intermediate views from only two reference images without any knowledge about 3D. The procedure consists of three steps: segmentation, morphing and post-warping. Given a boundary connection constraint, the source and target scenes are segmented into several layers for morphing. Based on the decomposition of affine transformation between corresponding points, we uniquely determine a physically correct path for post-warping by the least distortion method. I have successfully generalized the dynamic scene synthesis problem from the simple scene with only rotation to the dynamic scene containing non-rigid objects. My method can handle dynamic rigid or non-rigid objects, including complicated objects such as humans. Finally, I have also developed a novel algorithm for tri-view morphing. This is an efficient image-based method to navigate a scene based on only three wide-baseline un-calibrated images without the explicit use of a 3D model. After automatically recovering corresponding points between each pair of images using our wide baseline matching method, an accurate trifocal plane is extracted from the trifocal tensor implied in these three images. Next, employing a trinocular-stereo algorithm and barycentric blending technique, we generate an arbitrary novel view to navigate the scene in a 2D space. Furthermore, after self-calibration of the cameras, a 3D model can also be correctly augmented into this virtual environment synthesized by the tri-view morphing algorithm. We have applied our view morphing framework to several interesting applications: 4D video synthesis, automatic target recognition, multi-view morphing.
27	W4389252352	2023	https://doi.org/10.1109/tpami.2023.3328347	Understanding and Accelerating Neural Architecture Search With Training-Free and Theory-Grounded Metrics	IEEE Transactions on Pattern Analysis and Machine Intelligence	article	This work targets designing a principled and unified training-free framework for Neural Architecture Search (NAS), with high performance, low cost, and in-depth interpretation. NAS has been explosively studied to automate the discovery of top-performer neural networks, but suffers from heavy resource consumption and often incurs search bias due to truncated training or approximations. Recent NAS works Mellor et al. 2021, Chen et al. 2021, Abdelfattah et al. 2021 start to explore indicators that can predict a network's performance without training. However, they either leveraged limited properties of deep networks, or the benefits of their training-free indicators were not applied to more extensive search methods. By rigorous correlation analysis, we present a unified framework to understand and accelerate NAS, by disentangling “TEG” characteristics of searched networks –Trainability,Expressivity,Generalization– all assessed in a training-free manner. The TEG indicators could be scaled up and integrated with various NAS search methods, including both supernet and single-path NAS approaches. Extensive studies validate the effective and efficient guidance from our TEG-NAS framework, leading to both improved search accuracy and over 56% reduction in search time cost. Moreover, we visualize search trajectories on three landscapes of “TEG” characteristics, observing that a good local minimum is easier to find on NAS-Bench-201 given its simple topology, whereas balancing “TEG” characteristics is much harder on the DARTS space due to its complex landscape geometry.
28	W2896083421	2021	https://doi.org/10.1109/tpami.2021.3071289	The Loss Surface Of Deep Linear Networks Viewed Through The Algebraic Geometry Lens	IEEE Transactions on Pattern Analysis and Machine Intelligence	article	By using the viewpoint of modern computational algebraic geometry, we explore properties of the optimization landscapes of deep linear neural network models. After providing clarification on the various definitions of “flat” minima, we show that the geometrically flat minima, which are merely artifacts of residual continuous symmetries of the deep linear networks, can be straightforwardly removed by a generalized$L_2$-regularization. Then, we establish upper bounds on the number of isolated stationary points of these networks with the help of algebraic geometry. Combining these upper bounds with a method in numerical algebraic geometry, we findallstationary points for modest depth and matrix size. We demonstrate that, in the presence of the non-zero regularization, deep linear networks can indeed possess local minima which are not global minima. Finally, we show that even though the number of stationary points increases as the number of neurons (regularization parameters) increases (decreases), higher index saddles are surprisingly rare.
29	W2770839846	2017	https://doi.org/10.1002/mp.12673	A step‐by‐step review on patient‐specific biomechanical finite element models for breast MRI to x‐ray mammography registration	Medical Physics	article	Breast magnetic resonance imaging (MRI) and x-ray mammography are two image modalities widely used for the early detection and diagnosis of breast diseases in women. The combination of these modalities leads to a more accurate diagnosis and treatment of breast diseases. The aim of this paper is to review the registration between breast MRI and x-ray mammographic images using patient-specific finite element-based biomechanical models. Specifically, a biomechanical model is obtained from the patient's MRI volume and is subsequently used to mimic the mammographic acquisition. Due to the different patient positioning and movement restrictions applied in each image modality, the finite element analysis provides a realistic physics-based approach to perform the breast deformation. In contrast with other reviews, we do not only expose the overall process of compression and registration but we also include main ideas, describe challenges, and provide an overview of the used software in each step of the process. Extracting an accurate description from the MR images and preserving the stability during the finite element analysis require an accurate knowledge about the algorithms used, as well as the software and underlying physics. The wide perspective offered makes the paper suitable not only for expert researchers but also for graduate students and clinicians. We also include several medical applications in the paper, with the aim to fill the gap between the engineering and clinical performance.
30	W4313531405	2023	https://doi.org/10.48550/arxiv.2301.00942	Deep Learning and Computational Physics (Lecture Notes)	arXiv (Cornell University)	preprint	These notes were compiled as lecture notes for a course developed and taught at the University of the Southern California. They should be accessible to a typical engineering graduate student with a strong background in Applied Mathematics. The main objective of these notes is to introduce a student who is familiar with concepts in linear algebra and partial differential equations to select topics in deep learning. These lecture notes exploit the strong connections between deep learning algorithms and the more conventional techniques of computational physics to achieve two goals. First, they use concepts from computational physics to develop an understanding of deep learning algorithms. Not surprisingly, many concepts in deep learning can be connected to similar concepts in computational physics, and one can utilize this connection to better understand these algorithms. Second, several novel deep learning algorithms can be used to solve challenging problems in computational physics. Thus, they offer someone who is interested in modeling a physical phenomena with a complementary set of tools.
31	W4391645802	2024	https://doi.org/10.1145/3645107	Efficient High-Resolution Deep Learning: A Survey	ACM Computing Surveys	article	Cameras in modern devices such as smartphones, satellites and medical equipment are capable of capturing very high resolution images and videos. Such high-resolution data often need to be processed by deep learning models for cancer detection, automated road navigation, weather prediction, surveillance, optimizing agricultural processes and many other applications. Using high-resolution images and videos as direct inputs for deep learning models creates many challenges due to their high number of parameters, computation cost, inference latency and GPU memory consumption. Simple approaches such as resizing the images to a lower resolution are common in the literature, however, they typically significantly decrease accuracy. Several works in the literature propose better alternatives in order to deal with the challenges of high-resolution data and improve accuracy and speed while complying with hardware limitations and time restrictions. This survey describes such efficient high-resolution deep learning methods, summarizes real-world applications of high-resolution deep learning, and provides comprehensive information about available high-resolution datasets.
32	W2949532337	2019	https://doi.org/10.1007/jhep05(2019)188	Holographic Schwinger-Keldysh effective field theories	Journal of High Energy Physics	article	A bstract We construct a holographic dual of the Schwinger-Keldysh effective action for the dissipative low-energy dynamics of relativistic charged matter at strong coupling in a fixed thermal background. To do so, we use a mixed signature bulk spacetime whereby an eternal asymptotically anti-de Sitter black hole is glued to its Euclidean counterpart along an initial time slice in a way to match the desired double-time contour of the dual field theory. Our results are consistent with existing literature and can be regarded as a fully-ab initio derivation of a Schwinger-Keldysh effective action. In addition, we provide a simple infrared effective action for the near horizon region that drives all the dissipation and can be viewed as an alternative to the membrane paradigm approximation.
33	W4200630260	2022	https://doi.org/10.1109/ojsp.2022.3157082	Sparsest Univariate Learning Models Under Lipschitz Constraint	IEEE Open Journal of Signal Processing	article	Beside the minimizationof the prediction error, two of the most desirable properties of a regression scheme arestabilityandinterpretability. Driven by these principles, we propose continuous-domain formulations for one-dimensional regression problems. In our first approach, we use the Lipschitz constant as a regularizer, which results in an implicit tuning of the overall robustness of the learned mapping. In our second approach, we control the Lipschitz constant explicitly using a user-defined upper-bound and make use of a sparsity-promoting regularizer to favor simpler (and, hence, more interpretable) solutions. The theoretical study of the latter formulation is motivated in part by its equivalence, which we prove, with the training of a Lipschitz-constrained two-layer univariate neural network with rectified linear unit (ReLU) activations and weight decay. By proving representer theorems, we show that both problems admit global minimizers that are continuous and piecewise-linear (CPWL) functions. Moreover, we propose efficient algorithms that find the sparsest solution of each problem: the CPWL mapping with the least number of linear regions. Finally, we illustrate numerically the outcome of our formulations.
34	W4411454524	2025	https://doi.org/10.1007/s10851-025-01253-x	Convexity in ReLU Neural Networks: Beyond ICNNs?	Journal of Mathematical Imaging and Vision	article	
35	W4317379396	2023	https://doi.org/10.1007/s10851-022-01134-7	On Maximum a Posteriori Estimation with Plug &amp; Play Priors and Stochastic Gradient Descent	Journal of Mathematical Imaging and Vision	article	
